fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Caro, Hirsch Isaak, gest. vor 1844 in Chojna (Königsberg), Neumark. [BHR1],,,,
Caro, Isaak-Seelig, gest. 30. Aug. 1802 in Inowrocław (Inowrazlaw), Netzedistrikt. [BHR1],,,,
Caro, Israel. [BHR1],,,,,,
Caro, Jakob, gest. 25. Aug. 1847 in Lubliniec (Lublinitz), Oberschlesien. [BHR1],,,,
Caro, Jakob. [BHR1],,,,,,
Caro, Jecheskel, Dr., geb. 26. Sept. 1844 in Pniewy (Pinne), Prov. Posen, gest. 24. Dez. 1915 in Wien. [BHR1],,
Caro, Joseph Heimann, geb. 1805 in Służewo bei Toruń (Thorn), Prov. Südpreußen, gest. 21. Apr. 1895 in Włocławek, Russ.-Großpolen. [BHR1],,
Caro, Julius, geb. um 1832 in Śrem (Schrimm), Prov. Posen, gest. 1912 in Posen. [BHR1],,,
Caro, Liepmann, gest. 12. Sept. 1796. [BHR1],,,,,
Caro, Löb (hebr. Arjeh-L.), bürgerlich Lewin C., gen. Löb Charif, gest. 1797 in Inowrocław (Inowrazlaw), Netzedistrikt. [BHR1],,
Caro, Naftali, geb. 27. April 1798 in Rawicz, Prov. Südpreußen, gest. 17. März 1877 in Śrem (Schrimm), Prov. Posen. [BHR1],,
Caro, Salomon. [BHR1],,,,,,
Caro, Salomon, Dr., geb. 1. Juni 1825 in Sieraków (Zirke), Prov. Posen, gest. 1859 in Świecie (Schwetz), Prov. Westpreußen. [BHR1],
Caro, Samuel J., geb. 1794 in Szubin (Schubin), Prov. Posen, gest. 9. Juni 1875 in Sępólno Krajeńskie (Zempelburg), Prov. Westpreußen. [BHR1],,
Cassel, Aron, Dr., geb. 1817 in Człuchów (Schlochau), Prov. Westpreußen, gest. 9. Mai 1896 in Berlin. [BHR1],,
Cassuto, Jehuda, geb. 4. Sept. 1808 in Amsterdam, gest. 11. März 1893 in Hamburg. [BHR1],,,,
Chaim Jona. [BHR1],,,,,,,
Chaim, Abraham, gest. ca. 1856 in Żnin, Prov. Posen. [BHR1],,,,
Chaim, Elias Jakob, geb. in Żnin, Prov. Posen, gest. 7. Febr. 1900 das. [BHR1],,,
Chajes, Gerson, auch G. Birkenstadt, geb. ca. 1712, gest. 13. März 1789 in Mikulov (Nikolsburg), Mähren. [BHR1],,
Chalfan, Aron Löb, auch A. L. Hamburger, gest. 21. Juni 1782 in Deutschkreuz (Német-Keresztúr), Burgenland. [BHR1],,,
Chalfan, Gabriel, auch G. Broda, gest. 15. Mai 1791 in Ivančice (Eibenschütz), Mähren. [BHR1],,,
Chefetz, Moses, gest. 1807 in Danzig. [BHR1],,,,,
Chelm, Abraham, geb. in Chełm bei Lublin in Polen, gest. 1785 in Hildesheim. [BHR1],,,,
Chlumetzer, Elias, geb. in Kolín, Zentralböhmen, gest. Okt. 1822 in Heřmanův Městec (Hermanmestetz), Ostböhmen. [BHR1],,
Chorin, Aron, geb. 3. Aug. 1766 in Hranice (Mährisch-Weißkirchen), gest. 24. August 1844 in Arad, Ostungarn. [BHR1],,,
Chronik, Isaac Löw, Dr., geb. 1825 in Posen, gest. 1. Okt. 1886 in Berlin. [BHR1],,,
Cohen, Abraham. [BHR1],,,,,,
Cohen, Asser Daniel, geb. 9. Aug. 1794 in Hamburg, gest. 9. Juli 1862 in Friedrichstadt, Hzm. Schleswig. [BHR1],,,
Cohen, Baruch. [BHR1],,,,,,
Cohen, David. [BHR1],,,,,,
Cohen, Herschel (hebr. Zwi-H.), geb. ca. 1755 vermutlich in Ukmerge (Wilkomierz) bei Wilna, gest. 8. Dez. 1827 in Krotoszyn (Krotoschin), Prov. Posen. [BHR1],,,
Cohen, Moses, geb. 1785 in Untermerzbach im Grabfeld, Unterfranken, gest. 14. Mai 1843 in Kaiserslautern. [BHR1],,,
Cohen, Raphael, geb. 4. Nov. 1722 in Druya (Druja) an der Düna, Weißrußland, gest. 11. Nov. 1803 in Altona. [BHR1],,,
Cohn, Dr. [BHR1],,,,,,
Cohn, Aron Hirz. [BHR1],,,,,,
Cohn, Aron, Dr., geb. 30. Dez. 1840 in Altona, gest. 1922. [BHR1],,,
Cohn, Benjamin, eigentlich B. Cohen, geb. 1826 in Meknes, Marokko, gest. 30. Jan. 1880 in Altona. [BHR1],,
Cohn, Elkan, geb. 1820 in Kościan (Kosten), Prov. Posen, gest. 1889 in San Francisco. [BHR1],,,
Cohn, Falk, Dr., geb. 18. Sept. 1833 in Dessau, gest. 6. März 1901 in Bonn. [BHR1],,,
Cohn, Feibisch, geb. in Białystok, Polen, gest. Mitte des 19. Jhs. in Hamburg. [BHR1],,,
Cohn, H. [BHR1],,,,,,
Cohn, Israel Heimann. [BHR1],,,,,,
Cohn, Jechiel. [BHR1],,,,,,
Cohn, Jekew, geb. 1808 in Altona, gest. 10. Okt. 1905 das. [BHR1],,,,
Cohn, Joseph, geb. 24. Aug. 1828 in Obrzycko (Obersitzko), Prov. Posen. [BHR1],,,,
Cohn, M. J. [BHR1],,,,,,
Cohn, Moses. [BHR1],,,,,,
Cohn, Pessach, geb. in Altona, gest. 21. Mai 1831 das. [BHR1],,,,
Cohn, Salomon, Dr., geb. 24. März 1822 in Biała (Zülz), Oberschlesien, gest. 22. Sept. 1902 in Breslau. [BHR1],,
Cohn, Tobias, Dr., geb. 2. Feb. 1826 in Czarne (Hammerstein), Prov. Westpreußen, gest. 2./3. Nov. 1904 in Berlin. [BHR1],,
Cohn, Wolf, gest. 18. Juni 1859. [BHR1],,,,,
Cohn, Wolf, geb. 14. Juli 1812 in Baiersdorf bei Erlangen, gest. 16. Januar 1888 das. [BHR1],,,,
Cossmann, Julius-Jona, Dr., geb. 30. Dez. 1816 in Dessau, gest. 27. Jan. 1855 in Mirosławiec (Märkisch-Friedland), Prov. Westpreußen. [BHR1],,
Cracauer, Heinrich, Dr., geb. 6. Nov. 1815 in Breslau, gest. nach 1864 vermutlich in Berlin. [BHR1],,,
Crailsheimer, Salomon, geb. 1768, gest. nach 1834. [BHR1],,,,
Dajan, Wolf. [BHR1],,,,,,
Danziger, E. M. [BHR1],,,,,,
Darmstadt, Samuel Lazarus, gest. 14. Okt. 1782 in Mannheim. [BHR1],,,,,
Dattelzweig, Moses. [BHR1],,,,,,
Daus, Lippmann, gest. 22. Nov. 1829 in Hamburg. [BHR1],,,,,
Daus, S. [BHR1],,,,,,
David-Tewele [Tabele], geb. in Rawicz, gest. 29. Mai 1862 in Kórnik (Kurnik), Prov. Posen. [BHR1],,,,
David b. Juda, gest. vor 1817 in Murowana Goślina (Murowana- Goslin), Prov. Posen. [BHR1],,,,,
David b. Juda-Leib. [BHR1],,,,,,,
Delem, Hirsch Samuel (hebr. Zwi.-H. S.), auch H. Delom, geb. vermutlich in Theilheim, Unterfranken, gest. vor 1796 in Bödigheim, Odenwald. [BHR1],
Deller, Lippmann. [BHR1],,,,,,
Dessauer, Moritz, Dr., geb. 24. Mai 1842 in Balatonfö-Kajár  [BHR1], Vesprimer Komitat, Ungarn, gest. 27. April 1895 in Meiningen, Thüringen. [BHR1]
Deutsch, Alexander. [BHR1],,,,,,
Deutsch, Aron David, gen. David Prag, geb. 1812 in Roudnice nad Labem (Raudnitz), Nordböhmen, gest. 26. Apr. 1878 in Balassagyarmat, Ungarn. [BHR1],
Deutsch, David, gen. David Kitzee oder ’Ōhäl Dāwīd, geb. 22. Okt. 1755 vermutlich in Nitra (Neutra), Slowakei, gest. 3. Juni 1831 in Nové Mesto nad Váhom (Waag-Neustadtl). [BHR1],,
Deutsch, David, geb. 14. Feb. 1810 in Biała (Zülz), Oberschlesien, gest. 31. Juli 1873 in Żory (Sohrau). [BHR1],,,
Deutsch, Israel, geb. 2. April 1800 in Biała (Zülz), Oberschlesien, gest. 7. Juni 1853 in Bytom (Beuthen). [BHR1],,,
Deutsch, Jakob Issaschar Berusch. [BHR1],,,,,,
Deutsch, Josef Emanuel, geb. 1730 in Mikulov (Nikolsburg), Mähren, gest. 1826 in Roudnice nad Labem (Raudnitz a. d. Elbe), Nordböhmen. [BHR1],,
Deutsch, Meir, geb. in Dolní Kounice (Kanitz), Mähren, gest. 12. Cheschwan 1781 in Strážnice (Straßnitz). [BHR1],,,
Deutsch, Moritz, Dr.," geb. in ""Waag-Welsche""", Slowakei, gest. nach 1892 vermutlich in Wien. [BHR1],,
Deutsch, Moses Aron, geb. 1752 vermutlich in Mikulov (Nikolsburg), Mähren, gest. 25. Sept. 1799 in Hranice (Mährisch-Weißkirchen). [BHR1],,,
Deutsch, Salomon, Dr., geb. 18. Nov. 1816 in Gliwice (Gleiwitz), Oberschlesien, gest. vermutlich in den USA. [BHR1],,
Deutschmann, Joachim, geb. 24. Feb. 1760 in Rychnov nad Kněžnou (Reichenau), Ostböhmen, gest. 1837 in Kolín, Zentralböhmen. [BHR1],,
Deutz, Menachem-Manlin, franz. Emmanuel D., geb. 8. Sept. 1764 in Koblenz, gest. 31. Jan. 1842 in Paris. [BHR1],,,
Dispeck, David, geb. um 1715 in Diespeck bei Neustadt a. d. Aisch, Mittelfranken, gest. 9. Nov. 1793 in Baiersdorf bei Erlangen. [BHR1],,,
Dispecker, Benjamin, geb. ca. 1800 in Merchingen, Baden, gest. 1828 in Breisach. [BHR1],,,
Dispecker, Hayum Moses, geb. in Fürth, gest. Februar 1832 in Hechingen, Hohenzollern. [BHR1],,,
Dispecker, Simon, geb. um 1766 in Fürth, gest. 2./3. Okt. 1847 in Baiersdorf b. Erlangen. [BHR1],,,,
Donath, Leopold, Dr., geb. 1. Okt. 1842 in Moravské Lieskové (Morva-Liessko) bei Trenčín, Slowakei, gest. 1876 in Güstrow, Mecklenburg. [BHR1],
Dörnberger, Jakob, geb. in Derenburg bei Halberstadt, gest. 2. Feb. 1800 in Hannover. [BHR1],,,,
Drach, Sanwel, auch S. Trach, gest. ca. 1795 in Frankfurt/M. [BHR1],,,,
Dreifus, Wolf, geb. 1782, gest. 29. Mai 1860 in Lengnau, Schweiz. [BHR1],,,
Dreifuss, Moses, Dr., geb. 9. März 1806 in Adelsdorf, Oberfranken, gest. 16. Nov. 1879 in Meiningen. [BHR1],,
Dreifuss, Salomon, geb. in Weinheim an der Bergstraße, gest. 20. Okt. 1849 in Hamburg. [BHR1],,,,
Dreyfuss, Abraham Samuel, geb. 1763, gest. vermutlich 1825 in Landau/Pfalz. [BHR1],,,,
Dreyfuss, Emanuel," genannt ""Rabbi Mendele""", geb. 1805 in Müllheim, Baden, gest. 1886 in Sulzburg, Baden. [BHR1],
Dürkheim, Abraham-Israel, geb. 1765 in Bad Dürkheim, gest. 31. Jan. 1816 in Mutzig, Unterelsaß. [BHR1],,,
Duschak, Hermann, Vorname auch Zwi-Hirsch oder Uri, geb. ca. 1805 in Třešť (Triesch), Mähren, gest. 4. Sept. 1866 in Slavkov (Austerlitz). [BHR1],,
Duschak, Moritz, Dr., geb. 14. Nov. 1815 in Třešť (Triesch), Mähren, gest. 21. Juli 1890 in Wien. [BHR1],,
Duschner, Josef. [BHR1],,,,,,
Dux, Moritz. [BHR1],,,,,,
Eckmann, Julius, Dr., geb. 1805 in Rawicz (Rawitsch), Prov. Südpreußen, gest. 5. Juli 1874 in San Francisco. [BHR1],,
Eckstein, Aron. [BHR1],,,,,,
Eger, Akiba, bürgerlich Jakob Moses Eiger, hebr. Kürzel Ra‘aqa’, zeichnet selbst meist als Akiba Güns, geb. 8. Nov. 1761 in Eisenstadt, gest. 12. Okt. 1837 in Posen. [BHR1],
Eger, Akiba, bürgerlich Jacob Wolf Egers, geb. in Breslau, gest. 4. Okt. 1823 in Halberstadt. [BHR1],,,
Eger, Joseph, bürgerlich Joseph Jakob Egers, geb. in Halberstadt, gest. 1854 das. [BHR1],,,
Eger, Löb (hebr. Juda-L.), bürgerlich Levin Jakob Egers, gest. 1814 in Halberstadt. [BHR1],,,,
Eger, Moses, bürgerlich Moses Schlesinger, geb. in Mattersburg (Mattersdorf), Burgenland, gest. 2. Okt. 1857 in Hamburg. [BHR1],,
Eger, Salomon, geb. 1786 in Leszno (Lissa), gest. 3. Jan. 1852 in Posen. [BHR1],,,,
Eger, Wolf, geb. ca. 1744 in Halberstadt, gest. 19. September 1795 in Lipník (Leipnik), Mähren. [BHR1],,,
Egerer, Markus, vormals M. Fischer, geb. 1763, gest. 31. Okt. 1836 in Tachov (Tachau), Westböhmen. [BHR1],,
Egers, Sabel, hebr. Perez-Sebulon, bürgerlich Samuel Lewin Meyer, geb. 9. oder 11. Juni 1769 in Halberstadt, gest. 3. Dez. 1842 in Braunschweig. [BHR1],,
Ehrentheil, Adolf, Dr., geb. 25. Dez. 1823 in Prostějov (Proßnitz), Mähren, gest. 19. Jan. 1888 in Hořice (Horitz), Ostböhmen. [BHR1],
Ehrlich, Adolf, Dr., hebr. Abraham-Abele E., geb. 20. Sept. 1837 in Jelgava (Mitau), Kurland (heute Lettland), gest. 7. März 1913 in Tilsit. [BHR1],
Ehrlich, Kaufmann, geb. in Breslau, gest. 6. September 1888 das. [BHR1],,,,
Ehrlich, Nathan, geb. 12. April 1807 in Schopfloch bei Dinkelsbühl, gest. 19. Mai 1872 das. [BHR1],,,,
Ehrmann, Daniel, Dr., geb. 1816 in Mutěnín (Muttersdorf) im Böhmerwald, gest. 15. Nov. 1882 in Brünn. [BHR1],,,
Eibeschütz, Nathan-Neta, geb. vermutlich in Prag, gest. 16. Aug. 1789 das. [BHR1],,,,
Eidlitz, Abraham-Moses-Serach, geb. ca. 1725 in Prag, gest. 17. Mai 1786 das. [BHR1],,,,
Einhorn, David, Dr., geb. 10. Nov. 1809 in Diespeck bei Neustadt a. d. Aisch, Mittelfranken, gest. 2. Nov. 1879 in New York. [BHR1],,
Eisenstadt, Abraham Zwi, gest. 21. Aug. 1868 in Königsberg. [BHR1],,,,,
Eisler, Leopold, Dr., hebr. Juda-Leibusch E., geb. 11. Febr. 1825 in Boskovice (Boskowitz), Mähren, gest. 20. Juni 1909 in Ivanovice na Hané (Eiwanowitz). [BHR1],
Eisner, Isak, Dr., geb. in Žďár (Saar), Böhmen. [BHR1],,,
Eisner, Jakob, geb. ca. 1817 in Česká Lípa (Böhmisch-Leipa), Nordböhmen. [BHR1],,,,
Elbogen, Isak, Dr., geb. ca. 1812 in Smichov (Smichow) bei Prag, gest. 30. Aug. 1883 in Wien. [BHR1],,,
Elbogen, Josef. [BHR1],,,,,,
Elchanan b. Zwi, gest. 4. April 1800 in Trzciel (Tirschtiegel), Prov. Südpreußen. [BHR1],,,,,
Elias, Salomon, hebr. Schalom b. Elijahu, geb. Jan. 1795, gest. 6. Okt. 1860 in Nowe Miasto nad Wartą (Neustadt a. d. Warthe), Prov. Posen. [BHR1],,
Eliason, Valentin Scheyer, geb. um 1773. [BHR1],,,,,
Elieser Hakohen. [BHR1],,,,,,,
Elieser Lippmann Moses b. Salomon, gest. 17. Mai 1787 in Pappenheim, Mittelfranken. [BHR1],,,,,
Elkan, Möschel, geb. 2. Aug. 1739 in Brody, Ostgalizien, gest. 11. April 1822 in Hildesheim. [BHR1],,,
Elkanus, Jakob, hebr. Jakob b. Elkana. [BHR1],,,,,
Eller, Moritz Meyer, geb. 14. April 1801 in Mannheim, gest. 4. Jan. 1848 in Celle. [BHR1],,,,
Ellinger, Leo, gen. Löb Schnadig (Schnaittach), geb. 1772 in Mainz, gest. 1. August 1847 das. [BHR1],,,
Ellinger, Meyer Levi, geb. ca. 1736, gest. 12. Juni 1828 in Ichenhausen, Bay.-Schwaben. [BHR1],,,
Ellinger, Nathan-Neta, geb. 1772 in Mainz, gest. 14. Aug. 1839 in Bingen. [BHR1],,,,
Elsass, Ascher, gest. 11. Juni 1802 in Fürth. [BHR1],,,,,
Elsass, Wolf. [BHR1],,,,,,
Elsässer, Alexander Nathan, geb. 19. Apr. 1731, gest. April 1816 in Freudental, Württ. [BHR1],,,
Emden, Heymann Joseph, geb. 1754, gest. 4. März 1848 in Pappenheim, Mittelfranken. [BHR1],,,
Emden, Hirz (hebr. Naphtali-H.), auch H. Heilperin, gest. 20. Juni 1796 in Teplice (Teplitz), Nordböhmen. [BHR1],,,
Emmerich, Hillel, gest. 1805 in Mannheim. [BHR1],,,,,
Emrich, David, geb. 1724, gest. 1799 in Mikulov (Nikolsburg), Mähren. [BHR1],,,
Emrich, Koppel. [BHR1],,,,,,
Emrich, Salman, geb. 4. Sept. 1713 in Deutschland, gest. 23. Juni 1794 in Prag. [BHR1],,,,
Engelbert, Hermann, Dr., geb. 29. Juli 1830 in Gudensberg b. Kassel, gest. 5. Febr. 1900 in St. Gallen, Schweiz. [BHR1],,
Engelbert, Moses, Dr., geb. 18. Juni 1830 in Gudensberg b. Kassel, gest. 17. Januar 1891 in Heilbronn. [BHR1],,,
Enoch, Samuel David, Dr., geb. 8. Okt. 1814 in Hamburg, gest. 30. Dez. 1876 in Fulda. [BHR1],,,
Epstein, Elias, auch E. Eppenstein, geb. ca. 1750, gest. 30. Dez. 1826 in Harburg, Bay.-Schwaben. [BHR1],,
Epstein, Joseph, geb. 1759, gest. 6. April 1823 in Altenschönbach, Unterfranken. [BHR1],,,
Epstein, Moses, geb. in Schwarza bei Suhl in Preuß.-Thüringen, gest. vermutlich das. [BHR1],,,,
Epstein, Pelta Moses, bis 1809 Moses Liebhold, geb. Jan. 1745 in Offenbach, gest. 22. April 1821 in Bruchsal. [BHR1],,,
Erlangen, Israël, hebr. Elieser-Suscha Erlanger, geb. 17. Okt. 1790 in Gailingen im Bodenseegebiet, gest. 1. Juni 1867 in Paris. [BHR1],,,
Ettinger, Isaak-Joseph, gest. 6. Januar 1865 in Pleszew (Pleschen), Prov. Posen. [BHR1],,,,
Ettlinger, Aaron Mayer, geb. 3. Jan. 1769, gest. 25. Aug. 1849 in Karlsruhe. [BHR1],,,,
Ettlinger, Jakob, gen. ‘Ārūch la-Ner, geb. 17. März 1798 in Karlsruhe, gest. 7. Dez. 1871 in Altona. [BHR1],,,
Ettlinger, Löb, geb. 1803 in Karlsruhe, gest. 24. Dez. 1883 in Mannheim. [BHR1],,,,
Fabelle, David. [BHR1],,,,,,
Fahrenbach, Abraham, geb. 1767 in Fürth, gest. 18. März 1845 in Paderborn. [BHR1],,,,
Fahrenbach, Henoch Joseph, Dr., auch Heinrich F., geb. 18. Dez. 1810 in Detmold, gest. 5. Okt. 1872 das. [BHR1],,
Falk, Jakob Löbel (hebr. Jakob Juda-L.)," gen. ""Reb Falek""", geb. ca. 1760, gest. 24. Juni 1838 in Breslau. [BHR1],,,
Falk, Josua, gest. 3. Dez. 1873 in Breslau. [BHR1],,,,,
Falkenau, Hirsch, geb. 22. Juli 1806 in Fürth. [BHR1],,,,,
Falkenauer, Josua Moses, geb. 20. Mai 1774 in Fürth, gest. 27. Mai 1829 das. [BHR1],,,,
Falkenfeld,Joseph," gen. ""Ha-addīq", geb. 1736 in Zhovkva (Żółkiew), Ostgalizien, gest. im Monat Adar 1801 in Posen. [BHR1],,
Falkenfeld,Moses Samuel, geb. in Ternopiľ (Tarnopol), Ostgalizien, gest. 14. Kislew 1806 (5. Dez. 1805 oder 25. Nov. 1806) in Posen. [BHR1],,,
Falkenheim, Isaak, Dr., geb. 1826 in Vechta, Oldenburg, gest. 6. Sept. 1902 in Berlin. [BHR1],,
Fanto, Elieser Mendl, gest. 1790 in Mikulov (Nikolsburg), Mähren. [BHR1],,,,
Fassel, Hirsch Bär, geb. 21. Aug. 1802 in Boskovice (Boskowitz), Mähren, gest. 26. Dez. 1883 in Nagykanizsa (Groß-Kanischa), Ungarn. [BHR1],,
Feder, Josef Leib(hebr. Josef Juda-L.), geb. in der Provinz Posen, gest. 21. Mai 1876 in Breslau. [BHR1],,,,
Feibelmann, Josua, gest. 21. Dezember 1806 in Szamotuły (Samter) in der ehem. Prov. Südpreußen. [BHR1],,,,,
Feibelmann, Simon, geb. ca. 1775/80 in Leszno (Lissa), Großpolen, gest. 19. Mai 1842 in Fordon, Prov. Posen. [BHR1],,
Feige, Mannes, hebr. Jochanan, geb. 1800 in Rawicz, Prov. Südpreußen, gest. 9. Sept. 1877 in Pleszew (Pleschen), Prov. Posen. [BHR1],
Feilbogen, Benjamin, Dr., geb. 14. Okt. 1824 in Kounice (Kanitz), Mähren, gest. 21. Dez. 1914 in Wien. [BHR1],,
Feilbogen, Jakob Hirsch, auch J. Biach, geb. 28. Juni 1751 in Mikulov (Nikolsburg), Mähren, gest. 13. Dez. 1831 in Ždánice (Steinitz), Mähren. [BHR1],
Feilbogen, Josef, geb. 6. März 1784 in Uherský Brod (Ungarisch- Brod), Mähren, gest. 3. März 1869 in Strážnice (Straßnitz), Mähren. [BHR1],,
Feilbogen, Moses-Samuel, geb. in Uherský Brod (Ungarisch-Brod), Mähren, gest. 1886 in Strážnice (Straßnitz). [BHR1],,,
Feilchenfeld, Gabriel Fabian, Dr., geb. 18. Juni 1827 in Szlichtyngowa (Schlichtingsheim), Prov. Posen, gest. 16. Feb. 1910 in Schwerin, Mecklenburg. [BHR1],
Feilchenfeld, Wolf, Dr., geb. 28. Mai 1827 in Glogau, gest. 10. Mai 1913 in Posen. [BHR1],,,
Fein, Moritz, Dr., geb. Okt. 1820 in Svätý Jur (St. Georgen), Slowakei. [BHR1],,,
Feivel, Raphael. [BHR1],,,,,,
Feldblum, Salomon. [BHR1],,,,,,
Fellheim, Jakob, geb. vermutlich in Fellheim, Unterallgäu. [BHR1],,,,
Felsenheld, Hermann, aus Untermerzbach im Grabfeld, Unterfranken. [BHR1],,,,
Felsenstein, Samson, geb. Aug. 1805 in Bruck bei Erlangen, gest. 11. Okt. 1882 in Hanau. [BHR1],,,,
Felsenthal, Bernhard, Dr. h. c., geb. 2. Jan. 1822 in Münchweiler bei Kaiserslautern, gest. 12. Januar 1908 in Chicago. [BHR1],,,
Fernbach, Josef. [BHR1],,,,,,
Fernbach, Lazarus Levin, gest. 29. Okt. 1829 in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Fernbach, Löb (hebr. Juda-L.), bürgerlich Levin Abraham, geb. in Unterfarrnbach bei Fürth, gest. 6. Juni 1794 in Heidingsfeld bei Würzburg. [BHR1],,,
Fernbach, Löbel. [BHR1],,,,,,
Fernbach, Nathan-Neta. [BHR1],,,,,,
Feuchtwang, Meyer, Dr., geb. 3. April 1814 in Pappenheim, Mittelfranken, gest. 19. Jan. 1888 in Mikulov (Nikolsburg), Mähren. [BHR1],
Feuchtwangen, Schemajo-Jischai, gest. 1813 in Friedberg, Oberhessen. [BHR1],,,,
Fink, Ruben, geb. in Benzin in der Prov. Posen, vielleicht in Zbąszyn (Bentschen), gest. 3. Mai 1900 in Hamburg. [BHR1],,,
Fischels, Löb, geb. 1. März 1732 in Prag, gest. 16. Apr. 1808 das. [BHR1],,,,
Fischer, Bernard, Dr., geb. 12. Jan. 1821 in Budíkov (Budikau), Böhmen, gest. 17. Juni 1906 in Leipzig. [BHR1],,
Fischer, Markus. [BHR1],,,,,,
Fischer, Moses, geb. 1757 in Prag, gest. 7. Dez. 1833 in Eisenstadt. [BHR1],,,,
Fischl, Isak. [BHR1],,,,,,
Fischmann, Abraham, genannt A. Libeschitz, geb. in Liběšice, Nordböhmen, gest. 22. Okt. 1829 in Šafov (Schaffa), Mähren. [BHR1],
Fischmann, Jecheskel-Moses. [BHR1],,,,,,
Flamm, Aron Simon, geb. 31. Aug. 1834 in Nenzenheim bei Scheinfeld, Mittelfranken, gest. 9. März 1865 in Welbhausen, Mittelfranken. [BHR1],,
Fleckeles, Eleasar, geb. 26. Aug. 1754 in Prag, gest. 27. April 1826 ebd. [BHR1],,,,
Flegenheimer, Heyum, bürgerlich Heyum Simon, geb. in Mühringen im Schwarzwald. [BHR1],,,,
Flegenheimer, Simon Lazarus, geb. ca. 1723 in Flehingen, gest. 8. Mai 1793 in Darmstadt. [BHR1],,,,
Flehinger, Baruch Hirsch, geb. 1809 in Flehingen, Baden, gest. 1890. [BHR1],,,
Flehinger,Isak, geb. 1736, gest. 25. April 1818 in Flehingen, Baden. [BHR1],,,
Flehinger, Veit, geb. 12. Juli 1769 in Flehingen, gest. 25. Dez. 1854 in Bretten. [BHR1],,,,
Fleisch, Moses Hirsch, gest. 1862 in Lednice (Eisgrub), Mähren. [BHR1],,,,
Flesch, Salomon, geb. ca. 1750 in Mikulov (Nikolsburg), gest. 16. Jan. 1832 in Nitra (Neutra), Slowakei. [BHR1],,,
Flussmann, Samuel, gest. 1848 in Jindřichův Hradec (Neuhaus), Südböhmen. [BHR1],,,,
Formstecher, Salomon, Dr., geb. 26. Juli 1808 in Offenbach am Main, gest. 24. April 1889 das. [BHR1],,,
Frank, Abraham, Dr., geb. 22. Feb. 1839 in Oud-Beyerland bei Rotterdam, gest. 11. Nov. 1917 in Köln. [BHR1],,,
Frank, Daniel, geb. 1796 in Radenín bei Tábor, Südböhmen, gest. 9. Juni 1860 in Kolín, Zentralböhmen. [BHR1],,
Frank, Hirsch, geb. in Halberstadt, gest. 12. Mai 1788 in Altona. [BHR1],,,,
Frank, Israel, geb. 16. Dez. 1804 in Osann/Mosel, gest. 27. Sept. 1871 in Wittlich. [BHR1],,,,
Fränkel, Abraham, gest. 1820 in Binswangen, Bay.-Schwaben. [BHR1],,,,
Fränkel, Daniel, Dr., geb. 7. Nov. 1821 in Żory (Sohrau), Oberschlesien, gest. 1. April 1890 in Breslau. [BHR1],,
Fränkel, Eisemann, geb. 22. Nov. 1781 in Abterode a. d. Werra, gest. 12. Feb. 1855 in Witzenhausen, Kurhessen. [BHR1],,,
Fränkel, Isaak-Seckel, geb. in Fürth, gest. 12. Juli 1815 in Schwabach. [BHR1],,,,
Fränkel, Jacob, Dr., geb. 21. Juli 1814 in Karlino (Körlin) bei Koszalin (Köslin) in Pommern, gest. 1882 in Zwolle, Niederlande. [BHR1],,
Fränkel, Joseph, geb. in Fürth, gest. 10. Dez. 1799 das. [BHR1],,,,
Fränkel, Joseph Jonas, auch Isack Josef Teomim, geb. 1721 in Breslau, gest. 22. Okt. 1793 das. [BHR1],,,
Fränkel, Josua. [BHR1],,,,,,
Fränkel, Levi, auch Löb Berlin, geb. 1765 vermutlich in Breslau, gest. 30. Nov. 1815 in Frankfurt/M. [BHR1],,,
Fränkel, Moses, geb. 1739 in Berlin, gest. 20. Feb. 1812 in Dessau. [BHR1],,,,
Fränkel, Moses, geb. 1747, gest. 31. Dez. 1817 in Koźmin (Koschmin), Prov. Posen. [BHR1],,,
Fränkel, Moses Schalom, gen. Schalom Fürth, geb. vermutlich in Fürth, gest. 13. März 1828 in Preßburg. Zeichnet 1806 als Dajan in Preßburg auf der Berufungsakte für Moses Sofer. LIT. Kinstlicher, Hä- ātham Sōfer uvenē dōrō, S. 307f. [BHR1],
Fränkel, Samuel, gest. 1878 in Ostrów Wielkopolski (Ostrowo), Prov. Posen. [BHR1],,,,
Fränkel, Seligmann, geb. ca. 1762, gest. 19. Juli 1841 in Mainz. [BHR1],,,,
Frankel, Zacharias, Dr., geb. 30. Sept. 1801 in Prag, gest. 13. Feb. 1875 in Breslau. [BHR1],,,
Frankenstein, Simon, geb. ca. 1805 in Myslkovice (Miskowitz), Böhmen, gest. 1888 in Batelov (Battelau), Mähren. [BHR1],,
Frankfurt, Seligmann, gest. 1789 in Mannheim. [BHR1],,,,,
Frankfurter, Feibisch, geb. ca. 1762 in Frankfurt/Oder, gest. 1. Sept. 1841 in Friedberg, Oberhessen. [BHR1],,,
Frankfurter, Josef, geb. 1801 in Hodonín (Göding), Mähren, gest. 26. März 1880 in Třešť (Triesch). [BHR1],,,
Frankfurter, Lazar, Dr., geb. 1830 in Ivančice (Eibenschütz), Mähren, gest. 7. Dez. 1874 in Biesko-Biala (Bielitz), Österr.-Schlesien. [BHR1],
