fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Berlinger, Menachem-Menko, geb. 14. März 1831 in Berlichingen, Württ., gest. 3. Jan. 1903 in Braunsbach. [BHR1],,,
Bernays, Isaak, geb. 29. Sept. 1792 in Mainz-Weisenau, gest. 1. Mai 1849 in Hamburg. [BHR1],,,,
Bernstein, M. [BHR1],,,,,,
Beyersdorf, Jakob, geb. 1753 oder 1757 in Baiersdorf b. Erlangen. [BHR1],,,,,
Biberfeld, Philipp, geb. 25. Juni 1783 in Leszno (Lissa), Großpolen, gest. 1841 in Berlin. [BHR1],,,
Biedermann, Samuel. [BHR1],,,,,,
Bierheim, Meier, geb. ca. 1809 in Bechhofen, Mittelfranken, gest. 4. Febr. 1844 in Welbhausen, Mittelfranken. [BHR1],,
Biesenthal, I. [BHR1],,,,,,
Bing, Abraham, geb. 1752 in Bacharach, gest. 1. März 1841 in Würzburg. [BHR1],,,,
Blaschke, Löbel (hebr. Juda-L.), geb. 7. Nov. 1782 in Rawicz, Großpolen, gest. 29. April 1861 in Trzcianka (Schönlanke), Prov. Posen. [BHR1],,
Blatt, Moses, bürgerlich Markus B., gest. 1830 in Karlsbad, Westböhmen. [BHR1],,,
Bleichrode, Hirsch (hebr. Naftali-H.), gest. 10. März 1839 in Kórnik (Kurnik), Prov. Posen. [BHR1],,,,
Bloch, Aron, geb. ca. 1814 in Čkyně (Tschkin), Südböhmen, gest. 1863 in Strážov (Drosau), Westböhmen. [BHR1],,
Bloch, Beer. [BHR1],,,,,,
Bloch, Eleasar, gest. 1833 in Tachov (Tachau), Westböhmen. [BHR1],,,,
Bloch, Issaschar-Beer, auch Beer Hamburg, geb. ca. 1730 in Hamburg, gest. 2. Febr. 1798 in Mattersburg (Mattersdorf) [BHR1] , Burgenland.- Sohn des Hamburger Klausrb. und Dajan Samson B. genannt he-Chossid (st. 1738). Schüler von Jonathan Eibeschütz in Altona, dann von Ezechiel Landau in Prag, Schwiegersohn des Rb. Zwi-Hirsch in Loštice (Loschitz) in Mähren; Rb. in Eibenitz (wohl Ivančice/Eibenschütz)
Bloch, Mendl. [BHR1],,,,,,
Bloch, Moses, geb. 6. Okt. 1804 in Gailingen, Baden, gest. 13. März 1841 in Bad Buchau am Federsee, Württ. [BHR1],,
Bloch, Moses Löb, geb. 12. Feb. 1815 in Poběžovice (Ronsperg), Westböhmen, gest. 6. Aug. 1909 in Nagymaros bei Budapest. [BHR1],,,
Bloch, S. M., geb. 1841 in Sátoraljaújhely, Nordungarn, gest. 23. Sept. 1903 in Jarocin (Jarotschin), Prov. Posen. [BHR1],,
Bloch, Salomon, früher Ascher Seeligmann, geb. 1746 im Elsaß, gest. 18. Juni 1833 in Randegg, Baden. [BHR1],,
Blowitz, Isak. [BHR1],,,,,,
Blücher, Ephraim Israel, Dr., geb. 2. Okt. 1813 in Glocksdorf, Mähren, gest. 6. April 1882 in Pest. [BHR1],,
Blüh, Abraham, Dr., geb. Nov. 1835 in Lipník (Leipnik), Mähren, gest. 1907 in Opava (Troppau), Öst.-Schlesien. [BHR1],
Blum, Salomon Aron, Ortsrb. in Steinbach; von den französischen Autoritäten am 5. Sept. 1809 auf die Beschlüsse des Sanhedrin vereidigt und dem Oberrb. in Trier unterstellt. DOK. AN Paris, F 19," Nr. 11.052 ""Tableau des Déclarations faites par les Rabbins & Docteurs de la Loi""", Paris, 30. Sep. 1813. [BHR1],
Blümlein, Moses, geb. in Reckendorf, Oberfranken. [BHR1],,,,
Bock, Jaker Markus. [BHR1],,,,,,
Bodenheimer, Löb, Dr., auch Levi B., geb. 13. Dez. 1807 in Karlsruhe, gest. 25. Aug. 1868 in Krefeld. [BHR1],,
Böheim, Abraham, geb. 1767 in Fürth, gest. 10. Dez. 1845 in Gunzenhausen, Mittelfranken. [BHR1],,,
Böhm, Gabriel, gest. 1817 in Strážnice (Straßnitz), Mähren. [BHR1],,,,
Bondi, Abraham, geb. vermutlich 1721, gest. 3. April 1786 in Prag. [BHR1],,,,
Bondi, Elias, geb. 1777 vermutlich in Prag, gest. 23. März 1860 in Prag. [BHR1],,,,
Bondi, Elieser, gest. 1794 in Mladá Boleslav (Jungbunzlau), Zentralböhmen. [BHR1],,,,
Bondi, Moses-Jona, geb. 1768 in Dresden, gest. 19. Feb. 1806 in Mainz. [BHR1],,,,
Bondi, Nehemia-Feitel, geb. 1762 in Prag, gest. 29. März 1831 das. [BHR1],,,,
Bondi, Philipp, Dr., tschech. Filip Bondy, geb. 26. Feb. 1830 in Jinošice (Jinoschitz), Zentralböhmen, gest. 12. Dez. 1907 in Prag. [BHR1],
Bondi, Samuel, geb. 16. März 1794 in Mainz, gest. 24. Nov. 1877 das. [BHR1],,,,
Borchardt, Isaak I. [BHR1],,,,,,
Boskowitz, Wolf, hebr. Zeev-W., bürgerlich Wolf Samuel Levi, geb. ca. 1740 in Boskovice (Boskowitz)  [BHR1], Mähren, gest. 14. Juni 1818 in Bonyhád, Ungarn. [BHR1]
Brady, Moses. [BHR1],,,,,,
Brandeis, Moses Abraham, geb. 1765 in Fürth, gest. 13. Sept. 1819 in Bingen. [BHR1],,,,
Brandenburg, Sanwel, gest. 6. Sept. 1791 in Berlin. [BHR1],,,,,
Brann, Isaak, Dr., geb. 23. Nov. 1823 in Rawicz, Prov. Posen, gest. vermutlich 1893/95 in Starogard Gdański (Preußisch-Stargard), Prov. Westpreußen. [BHR1],
Brann, Salomon, Dr., geb. 3. Nov. 1814 in Rawicz, Prov. Posen, gest. 16. März 1903 in Piła (Schneidemühl). [BHR1],,
Breslau, David, gest. Anfang 1808 in Warendorf, Fsm. Münster. [BHR1],,,,
Breslau, Leibusch (hebr. Arjeh-L.), bürgerlich Levi Heyman, geb. 1741 in Breslau, gest. 22. Apr. 1809 in Rotterdam. [BHR1],,,
Breslauer, Michael, geb. 1710 in Hildesheim, gest. 18. Sept. 1789 in Warendorf, Fsm. Münster. [BHR1],,,
Bretzfeld, Simon Naphtali, geb. ca. 1794, gest. 12. Aug. 1859 in Paderborn. [BHR1],,,,
Bretzfeld, Wolf, geb. Januar 1749 in Baiersdorf, Fsm. Bayreuth, gest. 26. April 1826 in Fulda. [BHR1],,,
Bretzfelder, Meyer, auch M. Heller, geb. ca. 1750 in Pretzfeld, Oberfranken, gest. 12. Mai 1823 in Schnaittach, Mittelfranken. [BHR1],
Briesker, Markus," geb. nach eigener Angabe in ""Prieskau"" im späteren Preußen", vielleicht Prószków (Proskau), Oberschlesien. [BHR1],,,
Brill, Joel. [BHR1],,,,,,
Brisch, David, geb. in Leszno (Lissa), gest. 2. März 1835 in Bojanowo. [BHR1],,,,
Brisch, Elieser, geb. in Leszno (Lissa)," gest. ""5. Tischri 1831"" (12. Sept. 1831?) in Kutno", Russ.-Großpolen. [BHR1],,,
Brisch, David, gest. 2. März 1835 in Bojanowo, Prov. Posen. [BHR1],,,,
Brisch, Jacob, gest. 24. Jan. 1847 in Kobylin, Prov. Posen. [BHR1],,,,
Brod, Aron M. [BHR1],,,,,,
Brod, Mordechai, geb. in Uherský Brod (Ungarisch-Brod), Mähren, gest. 17. Mai 1815 in Šaštín (Schossberg), Slowakei. [BHR1],,
Brod, Samuel, geb. 1771, gest. 21. Nov. 1852 in Heřmanův Městec (Hermanmestetz), Ostböhmen. [BHR1],,,
Broda, Abraham, geb. in Bad Mergentheim, gest. 26. Feb. 1790 ebd. [BHR1],,,,
Broda, Hirsch (hebr. Zwi-H.), geb. in Uherský Brod (Ungarisch-Brod), Mähren," gest. ""21. Kislew 1820"". [BHR1]",,,
Brodda, Saul. [BHR1],,,,,,
Brohn, Heimann, gest. um 1860 in Skoki (Schocken) bei Posen. [BHR1],,,,,
Brüll, Jakob, geb. 16. Jan. 1812 in Rousínov (Neuraußnitz), Mähren, gest. 29. Nov. 1889 in Kojetín (Kojetein), Mähren. [BHR1],,
Brüll, Nehemiah, Dr., geb. 16. März 1843 in Rousínov (Neuraußnitz), Mähren, gest. 5. Feb. 1891 in Frankfurt/M. [BHR1],,
Brummel, Markus. [BHR1],,,,,,
Brumov, Markus. [BHR1],,,,,,
Brünn, Izik. [BHR1],,,,,,
Brunner, Juda, geb. 23. Jan. 1813, gest. 30. Sept. 1892 in Pohořelice (Pohrlitz), Mähren. [BHR1],,,
Brunner, Wolf. [BHR1],,,,,,
Buchheim, David, geb. in Prostějov (Proßnitz), Mähren, gest. 1841 in Uherský Brod (Ungarisch-Brod). [BHR1],,,
Buchheim, Gerson, geb. in Prostějov (Proßnitz), Mähren, gest. 30. Dez. 1846 in Slavkov (Austerlitz). [BHR1],,,
Buchholz, Peter, Dr., geb. 2. Okt. 1837 in Babimost (Bomst), Prov. Posen, gest. 20. Sept. 1892 in Emden. [BHR1],,
Bunzel, Bermann, geb. ca. 1800, gest. 21. Feb. 1855 in Prag. [BHR1],,,,
Bunzelfedern, Elias, geb. 1799 in Prag, gest. 1843 das. [BHR1],,,,
Buttenwieser, Joseph Löw Jakob (hebr. J. Arje-L. J.), geb. 7. Okt. 1780 in Wassertrüdingen, Mittelfranken, gest. 20. Juni 1852 das. [BHR1],,,
Buttenwieser, Samuel, geb. 11. März 1738 vermutlich in Buttenwiesen, Schwaben, gest. 8. Aug. 1807 in Wassertrüdingen, Mittelfranken. [BHR1],,
Byk, Michael Samuel, geb. ca. 1770 in Ternopiľ (Tarnopol), Ostgalizien. [BHR1],,,,
Cahn, Elias, Dr., geb. 12. Aug. 1808 in Mainz, gest. 18. Jan. 1888 das. [BHR1],,,
Calmon, Isaac, geb. ca. 1753. [BHR1],,,,,
Calvary, Jakob, auch J. Calvory, Kalfari oder Kaliphari, gest. Kislew 1836/37 in Posen. [BHR1],,,
Calvary, Moses, gest. 16. Feb. 1867 in Posen. [BHR1],,,,,
Carlburg, Löb(hebr. Juda-L.), geb. 1765 in Alba Iulia (Karlsburg), Siebenbürgen, gest. 20. Feb. 1835 in Krefeld, Rheinprovinz. [BHR1],,
Carlebach, Salomon, Dr., geb. 28. Dez. 1845 in Heidelsheim, Baden, gest. 12. März 1919 in Lübeck. [BHR1],,
Carmoly, Eliakim, Dr., eigentlich Goschel David Behr, geb. 5. Aug. 1802 in Soultz (Sulz), Oberelsaß, gest. 15. Febr. 1875 in Frankfurt/M. [BHR1],
Caro, Abraham, gest. 4. Aug. 1858 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Caro, Abraham Jesaja, geb. 1827 in Śrem (Schrimm), Prov. Posen, gest. 2. Mai 1888 in Pniewy (Pinne). [BHR1],,,
Caro, Hirsch, gest. 4. April 1833 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Caro, Hirsch. [BHR1],,,,,,
Caro, Hirsch, geb. 6. Sept. 1829 in Śrem (Schrimm), Prov. Posen, gest. 23. Sept. 1894 in Bremerhaven. [BHR1],,,
