Name,ID,GND
DISPECKER - Hayum Moses ,319,NA
DISPECKER - Simon ,320,http://d-nb.info/gnd/1071502158
DONATH - Leopold - Dr. ,321,http://d-nb.info/gnd/1055183973
DÖRNBERGER - Jakob ,322,http://d-nb.info/gnd/1069338184
DRACH - Sanwel - auch S. TRACH ,323,NA
DREIFUS - Wolf ,324,http://d-nb.info/gnd/1050567544
DREIFUSS - Moses - Dr. ,325,http://d-nb.info/gnd/1022496204
DREIFUSS - Salomon ,326,NA
DREYFUSS - Abraham Samuel ,327,NA
DREYFUSS - Emanuel - genannt „Rabbi Mendele“ ,328,http://d-nb.info/gnd/1012581993
DÜRKHEIM - Abraham-Israel ,329,NA
DUSCHAK - Hermann - Vorname auch Zwi-Hirsch oder Uri ,330,http://d-nb.info/gnd/1082327336
DUSCHAK - Moritz - Dr. ,331,http://d-nb.info/gnd/130144320
DUSCHNER - Josef ,332,NA
DUX - Moritz ,333,http://d-nb.info/gnd/1068117818
ECKMANN - Julius - Dr. ,334,http://d-nb.info/gnd/1069560766
ECKSTEIN - Aron ,335,http://d-nb.info/gnd/106956088X
EGER - Akiba - bürgerlich Jakob Moses EIGER - hebr. Kürzel Ra‘aqa’ - zeichnet selbst meist als Akiba GÜNS - geb. 8. Nov. 1761 in Eisenstadt ,336,http://d-nb.info/gnd/119038838
EGER - Akiba - bürgerlich Jacob Wolf EGERS ,337,http://d-nb.info/gnd/107088538X
EGER - Joseph - bürgerlich Joseph Jakob EGERS ,338,NA
EGER - Löb (hebr. Juda-L.) - bürgerlich Levin Jakob EGERS ,339,NA
EGER - Moses - bürgerlich Moses SCHLESINGER ,340,http://d-nb.info/gnd/1069959413
EGER - Salomon ,341,http://d-nb.info/gnd/105329011X
EGER - Wolf ,342,http://d-nb.info/gnd/1069963577
EGERER - Markus - vormals M. FISCHER ,343,http://d-nb.info/gnd/1069958905
EGERS - Sabel - hebr. Perez-Sebulon - bürgerlich Samuel Lewin MEYER ,344,http://d-nb.info/gnd/119067471
EHRENTHEIL - Adolf - Dr. ,345,http://d-nb.info/gnd/1069962961
EHRLICH - Adolf - Dr. - hebr. Abraham-Abele E. ,346,http://d-nb.info/gnd/1051900611
EHRLICH - Kaufmann ,347,http://d-nb.info/gnd/1070796247
EHRLICH - Nathan ,348,NA
EHRMANN - Daniel - Dr. ,349,http://d-nb.info/gnd/1068842040
EIBESCHÜTZ - Nathan-Neta ,350,http://d-nb.info/gnd/1069959685
EIDLITZ - Abraham-Moses-Serach ,351,http://d-nb.info/gnd/1069961965
EINHORN - David - Dr. ,352,http://d-nb.info/gnd/119333503
EISENSTADT - Abraham Zwi ,353,http://d-nb.info/gnd/1022347527
EISLER - Leopold - Dr. - hebr. Juda-Leibusch E. ,354,http://d-nb.info/gnd/13860066X
EISNER - Isak - Dr. ,355,http://d-nb.info/gnd/1069348872
EISNER - Jakob ,356,http://d-nb.info/gnd/1069958352
ELBOGEN - Isak - Dr. ,357,http://d-nb.info/gnd/106995649X
ELBOGEN - Josef ,358,http://d-nb.info/gnd/1069958166
Elchanan b. Zwi ,359,http://d-nb.info/gnd/1071149911
ELIAS - Salomon - hebr. Schalom b. Elijahu ,360,http://d-nb.info/gnd/1069347051
ELIASON - Valentin Scheyer ,361,NA
Elieser Hakohen ,362,NA
Elieser-Leiser ,363,NA
Elieser Lippmann Moses b. Salomon ,364,NA
ELKAN - Möschel ,365,http://d-nb.info/gnd/1069957674
ELKANUS - Jakob - hebr. Jakob b. Elkana ,366,NA
ELLER - Moritz Meyer ,367,http://d-nb.info/gnd/1019706465
ELLINGER - Leo - gen. Löb SCHNADIG (Schnaittach) ,368,NA
ELLINGER - Meyer Levi ,369,NA
ELLINGER - Nathan-Neta ,370,NA
ELSASS - Ascher ,371,NA
ELSASS - Wolf ,372,NA
ELSÄSSER - Alexander Nathan ,373,NA
EMDEN - Heymann Joseph ,374,NA
EMDEN - Hirz (hebr. Naphtali-H.) - auch H. HEILPERIN ,375,http://d-nb.info/gnd/1069957208
EMMERICH - Hillel ,376,NA
EMRICH - David ,377,http://d-nb.info/gnd/1069961116
EMRICH - Koppel ,378,NA
EMRICH - Salman ,379,http://d-nb.info/gnd/106996137X
ENGELBERT - Hermann - Dr. ,380,http://d-nb.info/gnd/1047604760
ENGELBERT - Moses - Dr. ,381,NA
ENOCH - Samuel David - Dr. ,382,http://d-nb.info/gnd/138801940
EPSTEIN - Elias - auch E. EPPENSTEIN ,383,NA
EPSTEIN - Joseph ,384,NA
EPSTEIN - Moses ,385,NA
EPSTEIN - Pelta Moses - bis 1809 Moses LIEBHOLD ,386,NA
ERLANGEN - Israël - hebr. Elieser-Suscha ERLANGER ,387,NA
ETTINGER - Isaak-Joseph ,388,http://d-nb.info/gnd/1068884843
ETTLINGER - Aaron Mayer ,389,NA
ETTLINGER - Jakob - gen. ‘Aruch la-Ner ,390,http://d-nb.info/gnd/100458068
