fn,ln,geb,gest,BHR
Drach,Sanwel,,1795,BHR1
Dreifus,Wolf,1782,1860,BHR1
Dreifuss,Moses,1806,1879,BHR1
Dreifuss,Salomon,,1849,BHR1
Dreyfuss,Abraham Samuel,1763,1825,BHR1
Dreyfuss,Emanuel,1805,1886,BHR1
Dürkheim,Abraham-Israel,1765,1816,BHR1
Duschak,Hermann,1805,1866,BHR1
Duschak,Moritz,1815,1890,BHR1
Duschner,Josef. ,,,BHR1
Dux,Moritz. ,,,BHR1
Eckmann,Julius,1805,1874,BHR1
Eckstein,Aron. ,,,BHR1
Eger,Akiba,1761,1837,BHR1
Eger,Akiba,,1823,BHR1
Eger,Joseph,,1854,BHR1
Eger,Löb (hebr. Juda-L.),,1814,BHR1
Eger,Moses,,1857,BHR1
Eger,Salomon,1786,1852,BHR1
Eger,Wolf,1744,1795,BHR1
Egerer,Markus,1763,1836,BHR1
Egers,Sabel,1769,1842,BHR1
Ehrentheil,Adolf,1823,1888,BHR1
Ehrlich,Adolf,1837,1913,BHR1
Ehrlich,Kaufmann,,1888,BHR1
Ehrlich,Nathan,1807,1872,BHR1
Ehrmann,Daniel,1816,1882,BHR1
Eibeschütz,Nathan-Neta,,1789,BHR1
Eidlitz,Abraham-Moses-Serach,1725,1786,BHR1
Einhorn,David,1809,1879,BHR1
Eisenstadt,Abraham Zwi,,1868,BHR1
Eisler,Leopold,1825,1909,BHR1
Eisner,Isak,,,BHR1
Eisner,Jakob,1817,,BHR1
Elbogen,Isak,1812,1883,BHR1
Elbogen,Josef. ,,,BHR1
Elchanan b. Zwi,,,1800,BHR1
Elias,Salomon,1795,1860,BHR1
Eliason,Valentin Scheyer,1773,,BHR1
Elieser Hakohen. ,,,,BHR1
Elieser Lippmann Moses b. Salomon,,,1787,BHR1
Elkan,Möschel,1739,1822,BHR1
Elkanus,Jakob,,,BHR1
Eller,Moritz Meyer,1801,1848,BHR1
Ellinger,Leo,1772,1847,BHR1
Ellinger,Meyer Levi,1736,1828,BHR1
Ellinger,Nathan-Neta,1772,1839,BHR1
Elsass,Ascher,,1802,BHR1
Elsass,Wolf. ,,,BHR1
Elsässer,Alexander Nathan,1731,1816,BHR1
Emden,Heymann Joseph,1754,1848,BHR1
Emden,Hirz (hebr. Naphtali-H.),,1796,BHR1
Emmerich,Hillel,,1805,BHR1
Emrich,David,1724,1799,BHR1
